Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
291; 2023/10/10; 17:28:02; 0; 62; 0; 0; 2601; 48; 22; 7
292; 2023/10/10; 17:28:12; 1048575; 63; 0; 0; 2588; 49; 22; 7
293; 2023/10/10; 17:28:22; 0; 62; 0; 0; 2553; 45; 22; 7
294; 2023/10/10; 17:28:32; 1048575; 62; 0; 0; 2449; 41; 22; 6
295; 2023/10/10; 17:28:42; 0; 52; 0; 0; 2504; 48; 22; 7
296; 2023/10/10; 17:28:52; 1048575; 52; 0; 0; 2584; 46; 22; 7
297; 2023/10/10; 17:29:02; 1048574; 52; 0; 0; 2625; 47; 22; 7
298; 2023/10/10; 17:29:12; 0; 62; 0; 0; 2686; 48; 22; 7
299; 2023/10/10; 17:29:22; 1048575; 63; 0; 0; 2515; 44; 22; 6
300; 2023/10/10; 17:29:32; 0; 63; 0; 0; 2708; 44; 22; 7
301; 2023/10/10; 17:29:42; 1048575; 62; 0; 0; 2703; 48; 22; 7
302; 2023/10/10; 17:29:52; 1048575; 62; 0; 0; 2697; 47; 22; 7
303; 2023/10/10; 17:30:02; 1048575; 62; 0; 0; 2675; 45; 22; 7
304; 2023/10/10; 17:30:12; 1048575; 62; 0; 0; 2358; 41; 22; 6
305; 2023/10/10; 17:30:22; 0; 62; 0; 0; 2531; 48; 22; 7
306; 2023/10/10; 17:30:32; 1048575; 62; 0; 0; 2533; 45; 22; 7
