Line, Datetime, PT0 (degC), PT1 (degC), PT2 (degC), PT3 (degC), PT4 (degC), PT5 (degC), PT6 (degC), PT7 (degC)
2133, 2023/10/10 22:35:03, 26.12942612942613, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 26.007326007326007, 0.0
2134, 2023/10/10 22:35:13, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.434676434676433, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2135, 2023/10/10 22:35:23, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.495726495726494, 25.946275946275946, 25.824175824175825, 25.946275946275946, 0.0
2136, 2023/10/10 22:35:33, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.76312576312576, 25.824175824175825, 25.885225885225886, 0.0
2137, 2023/10/10 22:35:43, 26.25152625152625, 26.007326007326007, 25.885225885225886, 26.495726495726494, 25.885225885225886, 25.885225885225886, 26.007326007326007, 0.0
2138, 2023/10/10 22:35:53, 26.25152625152625, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.824175824175825, 25.824175824175825, 26.007326007326007, 0.0
2139, 2023/10/10 22:36:03, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.824175824175825, 25.885225885225886, 26.007326007326007, 0.0
2140, 2023/10/10 22:36:13, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2141, 2023/10/10 22:36:23, 26.19047619047619, 26.068376068376068, 25.885225885225886, 26.495726495726494, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2142, 2023/10/10 22:36:33, 26.25152625152625, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 25.946275946275946, 0.0
2143, 2023/10/10 22:36:43, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2144, 2023/10/10 22:36:53, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 26.007326007326007, 0.0
2145, 2023/10/10 22:37:03, 26.25152625152625, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2146, 2023/10/10 22:37:13, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.495726495726494, 25.885225885225886, 25.885225885225886, 26.007326007326007, 0.0
2147, 2023/10/10 22:37:23, 26.19047619047619, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2148, 2023/10/10 22:37:33, 26.12942612942613, 25.946275946275946, 25.824175824175825, 26.31257631257631, 25.824175824175825, 25.824175824175825, 25.885225885225886, 0.0
2149, 2023/10/10 22:37:43, 26.25152625152625, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2150, 2023/10/10 22:37:53, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2151, 2023/10/10 22:38:03, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.824175824175825, 25.824175824175825, 25.946275946275946, 0.0
2152, 2023/10/10 22:38:13, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.885225885225886, 26.007326007326007, 0.0
2153, 2023/10/10 22:38:23, 26.19047619047619, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 25.946275946275946, 0.0
2154, 2023/10/10 22:38:33, 26.19047619047619, 25.946275946275946, 25.946275946275946, 26.495726495726494, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2155, 2023/10/10 22:38:43, 26.068376068376068, 25.946275946275946, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.76312576312576, 25.946275946275946, 0.0
2156, 2023/10/10 22:38:53, 26.25152625152625, 25.946275946275946, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2157, 2023/10/10 22:39:03, 26.19047619047619, 25.946275946275946, 25.946275946275946, 26.434676434676433, 25.946275946275946, 25.946275946275946, 25.946275946275946, 0.0
2158, 2023/10/10 22:39:13, 26.19047619047619, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2159, 2023/10/10 22:39:23, 26.25152625152625, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 26.007326007326007, 0.0
2160, 2023/10/10 22:39:33, 26.19047619047619, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.885225885225886, 25.946275946275946, 25.946275946275946, 0.0
2161, 2023/10/10 22:39:43, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.373626373626372, 25.885225885225886, 25.76312576312576, 25.946275946275946, 0.0
2162, 2023/10/10 22:39:53, 26.12942612942613, 25.885225885225886, 25.885225885225886, 26.373626373626372, 25.885225885225886, 25.885225885225886, 25.946275946275946, 0.0
2163, 2023/10/10 22:40:03, 26.19047619047619, 26.007326007326007, 25.824175824175825, 26.434676434676433, 25.885225885225886, 25.946275946275946, 25.946275946275946, 0.0
2164, 2023/10/10 22:40:13, 26.12942612942613, 25.946275946275946, 25.885225885225886, 26.373626373626372, 25.885225885225886, 25.824175824175825, 25.885225885225886, 0.0
2165, 2023/10/10 22:40:23, 26.19047619047619, 26.068376068376068, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 26.007326007326007, 0.0
2166, 2023/10/10 22:40:33, 26.12942612942613, 25.885225885225886, 25.885225885225886, 26.434676434676433, 25.885225885225886, 25.885225885225886, 25.885225885225886, 0.0
2167, 2023/10/10 22:40:43, 26.25152625152625, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.946275946275946, 25.946275946275946, 26.007326007326007, 0.0
2168, 2023/10/10 22:40:53, 26.12942612942613, 25.885225885225886, 25.824175824175825, 26.31257631257631, 25.885225885225886, 25.824175824175825, 25.946275946275946, 0.0
2169, 2023/10/10 22:41:03, 26.19047619047619, 26.068376068376068, 25.885225885225886, 26.434676434676433, 25.946275946275946, 25.946275946275946, 25.946275946275946, 0.0
2170, 2023/10/10 22:41:13, 26.19047619047619, 26.007326007326007, 25.946275946275946, 26.434676434676433, 25.946275946275946, 25.885225885225886, 26.007326007326007, 0.0
2171, 2023/10/10 22:41:23, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 25.946275946275946, 26.007326007326007, 26.007326007326007, 0.0
2172, 2023/10/10 22:41:33, 26.19047619047619, 25.885225885225886, 25.885225885225886, 26.373626373626372, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2173, 2023/10/10 22:41:43, 26.25152625152625, 26.007326007326007, 25.946275946275946, 26.495726495726494, 25.946275946275946, 25.946275946275946, 26.007326007326007, 0.0
2174, 2023/10/10 22:41:53, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.495726495726494, 25.946275946275946, 25.885225885225886, 25.946275946275946, 0.0
2175, 2023/10/10 22:42:03, 26.19047619047619, 26.007326007326007, 25.885225885225886, 26.434676434676433, 26.007326007326007, 25.946275946275946, 25.946275946275946, 0.0
